f(x) = -1 + 1.00000(x-1) + 0.00000(x-1)(x-2) + -0.33333(x-1)(x-2)(x-3) + 0.16667(x-1)(x-2)(x-3)(x-4) + -0.03333(x-1)(x-2)(x-3)(x-4)(x-5) + 0.00000(x-1)(x-2)(x-3)(x-4)(x-5)(x-6) + 0.00159(x-1)(x-2)(x-3)(x-4)(x-5)(x-6)(x-7) + -0.00040(x-1)(x-2)(x-3)(x-4)(x-5)(x-6)(x-7)(x-8) + 0.00004(x-1)(x-2)(x-3)(x-4)(x-5)(x-6)(x-7)(x-8)(x-9)
2.000;0.000
2.100;0.123
2.200;0.255
2.300;0.390
2.400;0.522
2.500;0.647
2.600;0.759
2.700;0.854
2.800;0.927
2.900;0.977
3.000;1.000
3.100;0.997
3.200;0.966
3.300;0.910
3.400;0.830
3.500;0.727
3.600;0.605
3.700;0.467
3.800;0.318
3.900;0.161
4.000;-0.000
4.100;-0.160
4.200;-0.316
4.300;-0.463
4.400;-0.598
4.500;-0.717
4.600;-0.818
4.700;-0.898
4.800;-0.956
4.900;-0.990
5.000;-1.000
5.100;-0.985
5.200;-0.947
5.300;-0.885
5.400;-0.802
5.500;-0.700
5.600;-0.581
5.700;-0.448
5.800;-0.305
5.900;-0.154
6.000;0.000
6.100;0.154
6.200;0.305
6.300;0.448
6.400;0.581
6.500;0.700
6.600;0.802
6.700;0.885
6.800;0.947
6.900;0.985
7.000;1.000
7.100;0.990
7.200;0.956
7.300;0.898
7.400;0.818
7.500;0.717
7.600;0.598
7.700;0.463
7.800;0.316
7.900;0.160
8.000;0.000
8.100;-0.161
8.200;-0.318
8.300;-0.467
8.400;-0.605
8.500;-0.727
8.600;-0.830
8.700;-0.910
8.800;-0.966
8.900;-0.997
